wild_mut,H ALTS910101,H BENS940101,H BENS940102,H BENS940103,H BENS940104,H CSEM940101,H DAYM780301,H FEND850101,H FITW660101,H GEOD900101,H GONG920101,H GRAR740104,H HENS920101,H HENS920102,H HENS920103,H JOHM930101,H JOND920103,H JOND940101,H KOLA920101,H LEVJ860101,H LUTR910101,H LUTR910102,H LUTR910103,H LUTR910104,H LUTR910105,H LUTR910106,H LUTR910107,H LUTR910108,H LUTR910109,H MCLA710101,H MCLA720101,H MIYS930101,H MIYT790101,H MOHR870101,H NIEK910101,H NIEK910102,H OVEJ920101,H QU_C930101,H QU_C930102,H QU_C930103,H RISJ880101,H TUDE900101,H AZAE970101,H AZAE970102,H RIER950101,H WEIL970101,H WEIL970102,H MEHP950101,H MEHP950102,H MEHP950103,H KAPO950101,H VOGG950101,H BLAJ010101,H PRLA000101,H PRLA000102,H QUIB020101,H NAOD960101,H RUSR970101,H RUSR970102,H RUSR970103,H OGAK980101,H KANM000101,H NGPC000101,H MUET010101,H MUET020101,H MUET020102,H LINK010101,H DOSZ010102,H DOSZ010103,H DOSZ010104,H GIAG010101,H HENS920104,H DAYM780302,H DOSZ010101,H OVEJ920102,H OVEJ920103,H OVEJ920104,H OVEJ920105
AA,3.0,2.5,2.5,2.4,4.0,1.0,2.0,6.0,0.0,10.0,2.4,0.0,5.0,6.0,7.0,6.0,2.0,2.0,10.0,2.0,11.0,12.0,24.0,22.0,27.0,18.0,11.0,23.0,23.0,8.0,5.0,0.34,0.0,16.0,1.0,1.0,4.0,1.0,1.0,8.0,2.2,100.0,14.0,8.0,100.0,4.0,0.0,1.23,0.75,0.86,23.4,7.6,9.0,2.09,5.5,2.5,4.0,-2.0,0.0,-2.0,-4.8,36.0,5.0,5.0,5.0,2.0,0.441,0.56,10.0,5.34,0.0,5.0,6.0,15.4,0.355,0.275,0.224,0.426
RA,-3.0,-1.7,-1.2,-0.8,-1.6,-0.07,-2.0,2.0,2.0,5.0,-0.6,112.0,-2.0,-2.0,-3.0,-1.6,-1.0,-1.0,6.6,0.0,0.0,5.0,-2.0,-2.0,-3.0,1.0,1.0,-1.0,-2.0,2.0,0.0,-0.08,2.92,8.0,0.09,0.11,-1.0,0.39,0.25,2.0,1.5,-2.0,1.0,1.0,13.0,-1.0,0.0,1.17,0.8,1.02,16.8,4.6,0.0,-0.5,-2.24,0.2,0.0,1.0,0.0,1.0,-7.0,-9.0,-6.0,-5.5,-2.0,-1.0,0.034,-4.35,2.3,-1.67,2.4,-2.0,-6.0,6.4,0.019,0.022,0.025,0.013
AR,-3.0,-1.7,-1.2,-0.8,-1.6,-0.07,-2.0,2.0,2.0,5.0,-0.6,112.0,-2.0,-2.0,-3.0,-1.6,-1.0,-1.0,6.6,0.0,0.0,5.0,-2.0,-2.0,-3.0,1.0,1.0,-1.0,-2.0,2.0,0.0,-0.08,2.92,8.0,0.09,0.11,-1.0,0.39,0.25,2.0,1.5,-2.0,1.0,1.0,13.0,-1.0,0.0,1.17,0.8,1.02,16.8,4.6,0.0,-0.5,-2.24,0.2,0.0,1.0,0.0,1.0,-7.0,-9.0,-6.0,-5.5,-2.0,-1.0,0.03,-5.1,-0.2,-2.01,-2.4,-2.0,-6.0,-4.9,0.088,0.05,0.062,0.015
RR,6.0,5.1,5.0,4.8,2.9,1.0,6.0,6.0,0.0,10.0,4.7,0.0,7.0,8.0,9.0,10.0,5.0,7.0,10.0,2.0,32.0,9.0,18.0,38.0,32.0,60.0,28.0,19.0,40.0,8.0,6.0,0.65,0.0,16.0,1.0,1.0,7.0,1.0,1.0,8.0,2.2,100.0,16.0,11.0,100.0,4.0,-1.0,1.06,0.9,1.06,29.5,9.9,14.0,2.87,8.59,5.2,7.0,0.0,4.0,0.0,-6.2,56.0,9.0,10.0,7.0,5.0,0.519,0.78,8.1,7.03,0.0,7.0,8.0,-3.1,0.348,0.214,0.248,0.588
NA,0.0,0.0,0.0,-0.2,-1.7,-0.14,0.0,3.0,2.0,9.0,-0.3,111.0,-1.0,-2.0,-3.0,-1.4,0.0,-1.0,0.0,0.0,2.0,5.0,-1.0,4.0,-2.0,6.0,2.0,1.0,1.0,3.0,0.0,-0.16,1.78,9.0,-0.29,-0.31,-1.0,0.37,0.138,1.0,1.3,-8.0,1.0,0.0,60.0,0.0,2.0,1.28,0.71,0.95,17.1,4.9,0.0,-0.57,-1.77,1.1,0.0,0.0,0.0,0.0,-7.1,-19.0,-2.0,-3.0,-1.0,0.0,0.029,-5.77,1.5,-1.9,-0.5,-1.0,-3.0,4.0,0.031,0.016,0.041,0.011
AN,0.0,0.0,0.0,-0.2,-1.7,-0.14,0.0,3.0,2.0,9.0,-0.3,111.0,-1.0,-2.0,-3.0,-1.4,0.0,-1.0,0.0,0.0,2.0,5.0,-1.0,4.0,-2.0,6.0,2.0,1.0,1.0,3.0,0.0,-0.16,1.78,9.0,-0.29,-0.31,-1.0,0.37,0.138,1.0,1.3,-8.0,1.0,0.0,60.0,0.0,2.0,1.28,0.71,0.95,17.1,4.9,0.0,-0.57,-1.77,1.1,0.0,0.0,0.0,0.0,-7.1,-19.0,-2.0,-3.0,-1.0,0.0,0.02,-7.0,-1.2,-2.01,0.5,-1.0,-3.0,-8.1,0.103,0.041,0.059,0.036
NR,-1.0,-0.1,0.4,0.3,-1.5,0.12,0.0,2.0,2.0,6.0,0.3,86.0,0.0,-1.0,-1.0,-1.5,0.0,2.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,10.0,3.0,5.0,4.0,3.0,0.0,0.01,2.04,10.0,-0.1,-0.12,-1.0,0.266,0.558,2.0,1.2,11.0,10.0,7.0,53.0,0.0,0.0,1.03,0.88,1.19,17.1,5.5,1.0,0.6,0.24,0.7,4.0,2.0,0.0,0.0,-7.3,4.0,-3.0,-4.5,0.0,0.0,0.036,-1.19,0.3,-0.19,-2.1,-1.0,-5.0,-6.1,0.026,0.011,0.031,0.008
RN,-1.0,-0.1,0.4,0.3,-1.5,0.12,0.0,2.0,2.0,6.0,0.3,86.0,0.0,-1.0,-1.0,-1.5,0.0,2.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,10.0,3.0,5.0,4.0,3.0,0.0,0.01,2.04,10.0,-0.1,-0.12,-1.0,0.266,0.558,2.0,1.2,11.0,10.0,7.0,53.0,0.0,0.0,1.03,0.88,1.19,17.1,5.5,1.0,0.6,0.24,0.7,4.0,2.0,0.0,0.0,-7.3,4.0,-3.0,-4.5,0.0,0.0,0.026,-0.16,-0.4,-0.49,2.1,-1.0,-5.0,-5.3,0.018,0.012,0.022,0.0
NN,4.0,3.6,3.3,3.6,4.7,1.0,2.0,6.0,0.0,10.0,3.8,0.0,6.0,8.0,9.0,8.0,3.0,11.0,10.0,3.0,11.0,6.0,16.0,4.0,18.0,18.0,10.0,13.0,15.0,8.0,5.0,0.38,0.0,16.0,1.0,1.0,5.0,1.0,1.0,8.0,2.2,100.0,15.0,11.0,100.0,4.0,-2.0,1.02,0.8,1.36,27.4,9.0,11.0,3.6,10.0,2.5,8.0,0.0,3.0,0.0,-4.8,59.0,11.0,8.0,7.0,4.0,0.396,2.69,6.4,6.86,0.0,7.0,7.0,-3.4,0.195,0.261,0.239,0.398
DA,0.0,-0.6,-0.2,-0.3,1.0,-0.08,0.0,4.0,1.0,5.0,-0.3,126.0,-2.0,-3.0,-3.0,-1.6,0.0,0.0,0.0,0.0,1.0,6.0,-2.0,-1.0,-4.0,4.0,2.0,0.0,-1.0,3.0,0.0,0.04,2.37,9.0,0.05,0.07,-1.0,0.299,-0.018,0.0,0.2,3.0,0.0,0.0,33.0,-2.0,0.0,1.31,0.56,1.23,18.2,4.9,0.0,-0.73,-2.38,1.0,0.0,0.0,-1.0,-1.0,-6.9,-20.0,-5.0,-6.5,-1.0,0.0,0.039,-5.3,0.7,-2.11,1.0,-2.0,-3.0,4.1,0.038,0.008,0.044,0.012
